Dataset,Agent,FID
kodak,JPEG_Q30,84.63348982675626
kodak,JPEG_Q50,62.63502718514593
kodak,JPEG_Q70,47.11003535916694
kodak,JPEG_Q90,19.766432932728662
kodak,PNG,-0.00010992782802077272
kodak,WebP,57.92644367796362
kodak,AE,440.20942811359004
kodak,VAE,385.26924039879435
kodak,GAN,197.73055344322822
kodak,NIC_Q1,240.31019159230107
kodak,NIC_Q3,145.02111521165463
kodak,NIC_Q5,63.82151438719757
kodak,SD_FP16,39.456448180031316
kodak,SD_INT8,144.7123405316189
kodak,ECM,48.84827382487714
