epoch,train_loss,train_bpp,train_aux_loss,val_bpp,val_psnr,val_msssim
1,340.9561857414246,1.3762664946913719,5257.8110864257815,0.8212149937947592,19.28539693873682,0.6662698338429133
2,84.26307989120484,0.9648022675514221,5215.203005371094,0.76674768080314,20.51350618516665,0.730035866300265
3,60.63666592121124,0.9959383690357209,5162.1276025390625,0.7760312979420027,21.018066696288187,0.7656701132655144
4,50.44216019630432,1.0158759388327598,5101.6568920898435,0.8532487576206526,22.224681280242095,0.8087181597948074
5,45.28840533733368,1.0435313820838927,5039.167961425781,0.8764701336622238,22.809774437868583,0.829185925424099
6,40.83228279113769,1.0770765209197999,4975.277976074219,0.885473720729351,23.08944251846225,0.8419518743952116
7,40.934482550621034,1.0907500565052033,4907.651586914062,0.9295736427108446,23.663998939994062,0.8549336865544319
8,37.322745418548585,1.1077013874053956,4831.742700195313,0.9145293608307838,22.899403796701606,0.8606367409229279
9,36.21783661365509,1.116600870490074,4756.999362792969,0.9331835607687632,23.309530650474432,0.8729636172453562
10,35.008236503601076,1.1446632051467895,4684.641123046875,0.96229188144207,24.28637019684675,0.8855370556314787
11,31.65586441040039,1.154279950261116,4596.9466870117185,0.9903676683704058,24.585940594146212,0.8929214303692182
12,28.743427906036377,1.1722554802894591,4495.244404296875,1.0130974104007084,22.885661300528554,0.895250511666139
13,29.275079429149628,1.1823550483584404,4394.813776855469,1.0164698585867882,24.777828088777625,0.9056141724189123
14,26.971231236457825,1.2112160402536392,4276.485034179687,1.0474026575684547,24.688878103203635,0.9078625986973444
15,24.440969610214232,1.1971389558911323,4158.811130371094,1.052421937386195,25.29625471290555,0.91530109445254
16,23.782389407157897,1.2282909080386162,4028.8432299804685,1.0867430840929349,25.599011606918022,0.9191619729002317
17,23.2834823179245,1.230205703675747,3875.893211669922,1.0852772121628125,25.401910272408514,0.9248324756820997
18,21.55084706544876,1.2503711152076722,3713.7362231445313,1.103567751745383,25.757162384340962,0.9302101557453474
19,21.983985593318938,1.2448338583111762,3582.4931640625,1.1084394057591755,25.84369913758191,0.9307973260680834
20,21.672346858978273,1.258983903825283,3437.4352172851563,1.1211617241303127,26.081962888135223,0.933225043118
21,20.098360683918,1.2485905876755714,3281.400286865234,1.13088225821654,25.95556950643731,0.9287987897793452
22,19.666385872364046,1.2721846899390221,3099.324973144531,1.127873828013738,26.249918538032187,0.9341945772369703
23,20.54587317943573,1.2743276035785676,2924.480153808594,1.1515346517165501,26.17027607818112,0.9402799010276794
24,18.647085032463075,1.2868424355983734,2750.4775073242185,1.1488520950078964,26.714647108883188,0.9425599277019501
25,17.66458297252655,1.2847944250702859,2549.977763671875,1.1818847805261612,26.645862578399903,0.946478304763635
26,16.827753162384035,1.2999507054686545,2350.6672021484374,1.192545622587204,26.776738790443545,0.9457263896862665
27,18.36291801214218,1.3239894753694534,2142.1442810058593,1.177508721748988,26.209716498540843,0.9457656318942705
28,17.286159998178483,1.3169358316063882,1943.3104504394532,1.1848786895473797,26.605753080444615,0.9479060570398966
29,16.414674017429352,1.3126157635450364,1732.105492553711,1.1946585079034169,26.688497856922144,0.9499800875782967
30,16.455050424337387,1.3079416826367378,1520.6978045654296,1.2156108890970547,27.275880729974574,0.9532173971335093
31,16.3628922021389,1.3293008837103844,1306.9876611328125,1.2237209330002468,26.90949820088288,0.9515781675775846
32,15.804555299282073,1.316523677110672,1093.9030572509766,1.230870728691419,27.211383912070346,0.9521036421259245
33,15.732495133876801,1.324758449792862,898.5789068603516,1.2260052114725113,27.541571561425453,0.9528259163101515
34,14.995061745643616,1.3341132494807244,645.8149633789062,1.2504648119211197,27.72355360165049,0.9575783858696619
35,14.447199249267578,1.3221412545442581,401.4153633117676,1.2543055340647697,27.827392417660363,0.9586461385091146
36,14.347995601892471,1.349494712948799,372.29749252319334,1.2781371523936589,27.9552951990206,0.9589217081665993
37,14.803377714157104,1.3781249576807022,422.5901351928711,1.2686526005466778,27.97562809725457,0.960252491136392
38,13.951868362426758,1.3588638812303544,502.9992799377441,1.2844445357720058,28.099970200616866,0.9619112784663836
39,13.964499988555907,1.3851947474479676,598.2545724487304,1.2988740329941113,28.16813750972534,0.962246964375178
40,14.276778765916823,1.3871263846755029,707.9190557861328,1.305644231537978,28.14743297258462,0.9621109068393707
41,12.914297091960908,1.37638905107975,811.3119583129883,1.3093860919276874,28.487509082669206,0.9633199647068977
42,12.44878207206726,1.3608441895246506,911.1316162109375,1.329794481396675,28.58547338881344,0.9654891068736712
43,12.920762521028518,1.4066675788164138,1011.0022518920898,1.3296952545642853,28.634030389195548,0.9656358609596888
44,12.192846820354461,1.3978376811742783,1122.5889776611327,1.3394909004370372,28.70310957493471,0.9647684420148531
45,12.511332881450652,1.4003929463028908,1226.1589923095703,1.3563847467303276,28.969878341108686,0.9686012590924898
46,11.706709977388382,1.409855991601944,1346.3343023681641,1.3691234265764554,28.111567991359582,0.9649022097388903
47,11.892326852083206,1.4332246312499046,1432.8794146728515,1.3699989567200344,29.128162600565656,0.9693740233778954
48,11.938476009368896,1.422656393945217,1526.8723779296874,1.3737171416481335,28.869982562838473,0.9693915769457817
49,11.916847981214524,1.4520575377345084,1612.5742211914062,1.3734600245952606,28.99392356771664,0.9706248119473457
50,11.543104510307312,1.437146469950676,1705.9380053710938,1.3902847493688266,28.822539617129646,0.9702544982234637
