Dataset,Agent,PSNR,SSIM,LPIPS,BPP
kodak,NIC_Q3,30.25209225684959,0.8150538210051291,0.18985673785209656,1.9921875
kodak,NIC_Q5,32.89152005771585,0.8841446194257306,0.08681142330169678,4.46484375
kodak,ScaleHyperprior_q1,28.0722127501884,0.7601345818892846,0.26347866654396057,0.11865234375
kodak,ScaleHyperprior_q3,30.717883428958558,0.8252481640267787,0.17877589166164398,0.26171875
kodak,ScaleHyperprior_q5,33.77345584240773,0.8985055613828057,0.07564752548933029,0.611328125
kodak,GAN,26.326401864604293,0.7496756367923284,0.34374698996543884,6.0
kodak,SD_FP16,27.44735616957188,0.7606637014963539,0.046173740178346634,2.0
kodak,SD_INT8,20.740214810045266,0.5670368133408255,0.19695279002189636,0.5
kodak,JPEG_Q30,25.588893217620118,0.8435183628842983,0.07058978825807571,1.23974609375
kodak,JPEG_Q50,27.0440643854787,0.8839314105395871,0.037752021104097366,1.6851806640625
kodak,JPEG_Q70,28.756097059184395,0.9174798720360607,0.020502803847193718,2.279541015625
kodak,JPEG_Q90,33.017585684726164,0.9649281581960464,0.007341182325035334,4.0809326171875
kodak,PNG,inf,1.0,0.0,18.0926513671875
kodak,WebP,29.59123038395788,0.9296003869318749,0.035166963934898376,1.662109375
kodak,AE,11.459081309370147,0.12217692688733119,0.7557708024978638,64.0
kodak,VAE,11.20876900313249,0.11208526651786677,0.7228636741638184,256.0
kodak,NIC_Q1,22.09619030734961,0.6349571931264886,0.28871941566467285,1.7265625
kodak,NIC_Q3,24.64293147941669,0.7850014786046476,0.15899191796779633,4.16015625
kodak,NIC_Q5,27.787536603674216,0.8947531325367915,0.04704032465815544,9.30078125
kodak,ScaleHyperprior_q1,23.164813841080928,0.7062951354060418,0.2509094178676605,0.27490234375
kodak,ScaleHyperprior_q3,26.691610618988562,0.8549541253700932,0.09577826410531998,0.70654296875
kodak,ScaleHyperprior_q5,30.13604701651946,0.9337107427451957,0.02101094275712967,1.39794921875
kodak,GAN,20.566917510393118,0.5246760721634518,0.44577720761299133,6.0
kodak,SD_FP16,20.71133147767783,0.5748194602276747,0.10451237857341766,2.0
kodak,SD_INT8,17.0434519466028,0.40569034832188605,0.23950617015361786,0.5
kodak,JPEG_Q30,29.1734959498684,0.8271727846293638,0.10156183689832687,0.7830810546875
kodak,JPEG_Q50,30.57955174913012,0.8707219729393826,0.06024058908224106,1.0616455078125
kodak,JPEG_Q70,32.19363460812651,0.9061236245783467,0.03292965143918991,1.44775390625
